<http://www.yso.fi/onto/yso/p3390>	tertiary education
<http://www.yso.fi/onto/yso/p6547>	educational choices
<http://www.yso.fi/onto/yso/p16486>	students
<http://www.yso.fi/onto/yso/p24332>	student places
<http://www.yso.fi/onto/yso/p13164>	studies in an institution of higher education
<http://www.yso.fi/onto/yso/p10895>	universities
<http://www.yso.fi/onto/yso/p19755>	fields of training
<http://www.yso.fi/onto/yso/p5029>	quality
<http://www.yso.fi/onto/yso/p1467>	location
<http://www.yso.fi/onto/yso/p4168>	distance
<http://www.yso.fi/onto/yso/p7396>	regional differences
<http://www.yso.fi/onto/yso/p12928>	placement (work)
<http://www.yso.fi/onto/yso/p8831>	labour market
<http://www.yso.fi/onto/yso/p3481>	level of earnings
