<http://www.yso.fi/onto/yso/p4357>	life management
<http://www.yso.fi/onto/yso/p5643>	neuroses
<http://www.yso.fi/onto/yso/p8862>	genome
<http://www.yso.fi/onto/yso/p5056>	ageing
<http://www.yso.fi/onto/yso/p2414>	symptoms
<http://www.yso.fi/onto/yso/p2433>	senior citizens
<http://www.yso.fi/onto/yso/p2434>	elderly
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p8354>	mood
<http://www.yso.fi/onto/yso/p7995>	depression (mental disorders)
<http://www.yso.fi/onto/yso/p990>	mental disorders
<http://www.yso.fi/onto/yso/p14283>	coherence
<http://www.yso.fi/onto/yso/p20341>	physical education guidance
<http://www.yso.fi/onto/yso/p21661>	genetic factors
