<http://www.yso.fi/onto/yso/p7233>	skeletal system
<http://www.yso.fi/onto/yso/p4090>	strength of materials
<http://www.yso.fi/onto/yso/p8862>	genome
<http://www.yso.fi/onto/yso/p5056>	ageing
<http://www.yso.fi/onto/yso/p16991>	women
<http://www.yso.fi/onto/yso/p2433>	senior citizens
<http://www.yso.fi/onto/yso/p17396>	postmenopausal years
<http://www.yso.fi/onto/yso/p136>	physical strain
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p23619>	bone fractures
<http://www.yso.fi/onto/yso/p7232>	hip
<http://www.yso.fi/onto/yso/p23362>	muscle strength
<http://www.yso.fi/onto/yso/p980>	hormone therapy
