<http://www.yso.fi/onto/yso/p22353>	digital games
<http://www.yso.fi/onto/yso/p9695>	hermeneutics
<http://www.yso.fi/onto/yso/p10164>	narrativity
<http://www.yso.fi/onto/yso/p4990>	tales
<http://www.yso.fi/onto/yso/p6895>	narration
<http://www.yso.fi/onto/yso/p4295>	role-playing games
<http://www.yso.fi/onto/yso/p21187>	game research
<http://www.yso.fi/onto/yso/p6804>	semantics
<http://www.yso.fi/onto/yso/p14603>	philosophy of language
<http://www.yso.fi/onto/yso/p19072>	language-games
<http://www.yso.fi/onto/yso/p24121>	digital culture
<http://www.yso.fi/onto/yso/p11843>	expression (communication)
