<http://www.yso.fi/onto/yso/p5121>	exhibitions
<http://www.yso.fi/onto/yso/p4934>	museums
<http://www.yso.fi/onto/yso/p15607>	museology
<http://www.yso.fi/onto/yso/p216>	ideologies
<http://www.yso.fi/onto/yso/p447>	socialism
<http://www.yso.fi/onto/yso/p1780>	history
<http://www.yso.fi/onto/yso/p2607>	memory (cognition)
<http://www.yso.fi/onto/yso/p21222>	mimesis
<http://www.yso.fi/onto/yso/p10164>	narrativity
<http://www.yso.fi/onto/yso/p8475>	cultural heritage
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
<http://www.yso.fi/onto/yso/p2015>	symbols
<http://www.yso.fi/onto/yso/p105554>	Budapest
<http://www.yso.fi/onto/yso/p105029>	Hungary
