<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p20743>	information and communications technology
<http://www.yso.fi/onto/yso/p17832>	introduction (deployment)
<http://www.yso.fi/onto/yso/p17004>	developing countries
<http://www.yso.fi/onto/yso/p8470>	sustainable development
<http://www.yso.fi/onto/yso/p9713>	success factors
<http://www.yso.fi/onto/yso/p656>	obstacles (phenomena)
<http://www.yso.fi/onto/yso/p4813>	obstacles (inanimate objects)
<http://www.yso.fi/onto/yso/p12069>	service producers
<http://www.yso.fi/onto/yso/p11827>	teleoperators
<http://www.yso.fi/onto/yso/p1725>	trust
<http://www.yso.fi/onto/yso/p16550>	users
<http://www.yso.fi/onto/yso/p11535>	misuse
<http://www.yso.fi/onto/yso/p25639>	internet addiction
<http://www.yso.fi/onto/yso/p94080>	Africa
