<http://www.yso.fi/onto/yso/p514>	voles
<http://www.yso.fi/onto/yso/p1790>	small predators
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p26936>	population dynamics
<http://www.yso.fi/onto/yso/p23558>	population dynamics
<http://www.yso.fi/onto/yso/p4636>	biotic communities
<http://www.yso.fi/onto/yso/p5729>	climate changes
<http://www.yso.fi/onto/yso/p20949>	climatic effects
<http://www.yso.fi/onto/yso/p2055>	warming
<http://www.yso.fi/onto/yso/p16711>	losing (failing to win)
<http://www.yso.fi/onto/yso/p16692>	boreal zone
