<http://www.yso.fi/onto/yso/p1353>	sociolinguistics
<http://www.yso.fi/onto/yso/p7830>	pragmatics
<http://www.yso.fi/onto/yso/p8856>	Finnish language
<http://www.yso.fi/onto/yso/p2573>	English language
<http://www.yso.fi/onto/yso/p6720>	multilingualism
<http://www.yso.fi/onto/yso/p11302>	use of language
<http://www.yso.fi/onto/yso/p11300>	code switching (use of language)
<http://www.yso.fi/onto/yso/p21840>	message boards
<http://www.yso.fi/onto/yso/p21841>	online discussion
<http://www.yso.fi/onto/yso/p3867>	globalisation
<http://www.yso.fi/onto/yso/p6409>	football
<http://www.yso.fi/onto/yso/p21709>	fandom
<http://www.yso.fi/onto/yso/p94426>	Finland
