<http://www.yso.fi/onto/yso/p18959>	calcaneal tendon
<http://www.yso.fi/onto/yso/p6240>	viscosity
<http://www.yso.fi/onto/yso/p15864>	elasticity (physical properties)
<http://www.yso.fi/onto/yso/p3089>	fatigue (physics)
<http://www.yso.fi/onto/yso/p136>	physical strain
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p5844>	stress injuries
<http://www.yso.fi/onto/yso/p19405>	ultrasonography
<http://www.yso.fi/onto/yso/p12766>	sports injuries
<http://www.yso.fi/onto/yso/p20292>	biomechanics
<http://www.yso.fi/onto/yso/p11499>	tendons
