<http://www.yso.fi/onto/yso/p1699>	military service
<http://www.yso.fi/onto/yso/p26412>	training
<http://www.yso.fi/onto/yso/p17226>	load
<http://www.yso.fi/onto/yso/p25615>	overloading
<http://www.yso.fi/onto/yso/p7384>	physical fitness
<http://www.yso.fi/onto/yso/p24946>	aerobic capacity
<http://www.yso.fi/onto/yso/p4127>	serum
<http://www.yso.fi/onto/yso/p2589>	hormones
<http://www.yso.fi/onto/yso/p2382>	energy consumption
<http://www.yso.fi/onto/yso/p8173>	men
<http://www.yso.fi/onto/yso/p15979>	young adults
<http://www.yso.fi/onto/yso/p12919>	servicemen and servicewomen
