<http://www.yso.fi/onto/yso/p16969>	cognitive science
<http://www.yso.fi/onto/yso/p6680>	human-machine systems
<http://www.yso.fi/onto/yso/p2339>	technology (information)
<http://www.yso.fi/onto/yso/p372>	culture
<http://www.yso.fi/onto/yso/p18463>	cultural dependence
<http://www.yso.fi/onto/yso/p2189>	cultural impacts
<http://www.yso.fi/onto/yso/p24121>	digital culture
<http://www.yso.fi/onto/yso/p9194>	material culture
<http://www.yso.fi/onto/yso/p8760>	lifestyle
<http://www.yso.fi/onto/yso/p3785>	usability
<http://www.yso.fi/onto/yso/p21808>	user-centeredness
<http://www.yso.fi/onto/yso/p2721>	product development
<http://www.yso.fi/onto/yso/p6455>	design (artistic creation)
<http://www.yso.fi/onto/yso/p1044>	values (cultural objects)
