<http://www.yso.fi/onto/yso/p36>	communication
<http://www.yso.fi/onto/yso/p26123>	organisational communication and public relations
<http://www.yso.fi/onto/yso/p2777>	organisational communication and public relations
<http://www.yso.fi/onto/yso/p26122>	corporate communications
<http://www.yso.fi/onto/yso/p12926>	knowledge work
<http://www.yso.fi/onto/yso/p9226>	knowledge management
<http://www.yso.fi/onto/yso/p9225>	business intelligence
<http://www.yso.fi/onto/yso/p20746>	management systems
<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p11430>	information technology sector
<http://www.yso.fi/onto/yso/p12104>	specialists (experts)
<http://www.yso.fi/onto/yso/p3294>	customers
<http://www.yso.fi/onto/yso/p4458>	customer relationship
