<http://www.yso.fi/onto/yso/p1957>	data communications networks
<http://www.yso.fi/onto/yso/p24221>	wireless networks
<http://www.yso.fi/onto/yso/p12758>	mobile communication networks
<http://www.yso.fi/onto/yso/p4119>	radio networks
<http://www.yso.fi/onto/yso/p25238>	3G technology
<http://www.yso.fi/onto/yso/p15744>	unstructured networks
<http://www.yso.fi/onto/yso/p544>	interferences
<http://www.yso.fi/onto/yso/p23174>	dysfunctions
<http://www.yso.fi/onto/yso/p543>	defects
<http://www.yso.fi/onto/yso/p5520>	data mining
<http://www.yso.fi/onto/yso/p4787>	simulation
