<http://www.yso.fi/onto/yso/p454>	politics
<http://www.yso.fi/onto/yso/p15286>	political history
<http://www.yso.fi/onto/yso/p21757>	conceptual history
<http://www.yso.fi/onto/yso/p8612>	public discussion
<http://www.yso.fi/onto/yso/p811>	parliaments
<http://www.yso.fi/onto/yso/p14135>	government bills
<http://www.yso.fi/onto/yso/p2403>	civic duties
<http://www.yso.fi/onto/yso/p3221>	voting
<http://www.yso.fi/onto/yso/p3223>	voting behaviour
<http://www.yso.fi/onto/yso/p3225>	elections
<http://www.yso.fi/onto/yso/p104968>	France
<http://www.yso.fi/onto/yso/p105206>	Belgium
<http://www.yso.fi/onto/yso/p105037>	Greece
