<http://www.yso.fi/onto/yso/p9327>	immaterial capital
<http://www.yso.fi/onto/yso/p23081>	business ethics
<http://www.yso.fi/onto/yso/p15854>	legitimacy
<http://www.yso.fi/onto/yso/p1181>	business operations
<http://www.yso.fi/onto/yso/p854>	liability
<http://www.yso.fi/onto/yso/p3615>	reputation
<http://www.yso.fi/onto/yso/p11373>	small-scale entrepreneurs
<http://www.yso.fi/onto/yso/p8245>	small enterprises
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p3339>	cartels
<http://www.yso.fi/onto/yso/p19352>	resources
<http://www.yso.fi/onto/yso/p5192>	control
<http://www.yso.fi/onto/yso/p5601>	social responsibility
<http://www.yso.fi/onto/yso/p21090>	acceptability
<http://www.yso.fi/onto/yso/p94426>	Finland
