<http://www.yso.fi/onto/yso/p26128>	welfare services
<http://www.yso.fi/onto/yso/p1307>	social services
<http://www.yso.fi/onto/yso/p3307>	health services
<http://www.yso.fi/onto/yso/p1285>	public services
<http://www.yso.fi/onto/yso/p15383>	administrative culture
<http://www.yso.fi/onto/yso/p7422>	care work
<http://www.yso.fi/onto/yso/p12893>	professional image
<http://www.yso.fi/onto/yso/p12894>	professional identity
<http://www.yso.fi/onto/yso/p9365>	professional skills
<http://www.yso.fi/onto/yso/p6425>	habitus
<http://www.yso.fi/onto/yso/p928>	gender roles
