<http://www.yso.fi/onto/yso/p36>	communication
<http://www.yso.fi/onto/yso/p2494>	oral communication
<http://www.yso.fi/onto/yso/p8246>	small and medium-sized enterprises
<http://www.yso.fi/onto/yso/p12124>	medium-sized enterprises
<http://www.yso.fi/onto/yso/p8245>	small enterprises
<http://www.yso.fi/onto/yso/p3866>	internationalisation
<http://www.yso.fi/onto/yso/p3868>	internationality
<http://www.yso.fi/onto/yso/p560>	communicative skills
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p6444>	social skills
<http://www.yso.fi/onto/yso/p6924>	technology centres
<http://www.yso.fi/onto/yso/p18834>	quantitative research
<http://www.yso.fi/onto/yso/p11782>	qualitative research
