<http://www.yso.fi/onto/yso/p9374>	lakes
<http://www.yso.fi/onto/yso/p24233>	humus lakes
<http://www.yso.fi/onto/yso/p16692>	boreal zone
<http://www.yso.fi/onto/yso/p12358>	stratification
<http://www.yso.fi/onto/yso/p5424>	microbes
<http://www.yso.fi/onto/yso/p1749>	bacteria
<http://www.yso.fi/onto/yso/p25695>	DNA analysis
<http://www.yso.fi/onto/yso/p27039>	microbiome
<http://www.yso.fi/onto/yso/p16314>	microbial ecology
<http://www.yso.fi/onto/yso/p22082>	food webs
<http://www.yso.fi/onto/yso/p901>	fishes
<http://www.yso.fi/onto/yso/p5097>	fish transplanting
<http://www.yso.fi/onto/yso/p4729>	greenhouse gases
<http://www.yso.fi/onto/yso/p5729>	climate changes
<http://www.yso.fi/onto/yso/p13222>	methane
<http://www.yso.fi/onto/yso/p15107>	nitrous oxide
<http://www.yso.fi/onto/yso/p21941>	carbon sinks
<http://www.yso.fi/onto/yso/p12487>	denitrification
