<http://www.yso.fi/onto/yso/p5729>	climate changes
<http://www.yso.fi/onto/yso/p20949>	climatic effects
<http://www.yso.fi/onto/yso/p16692>	boreal zone
<http://www.yso.fi/onto/yso/p5454>	forests
<http://www.yso.fi/onto/yso/p17878>	forest landscape
<http://www.yso.fi/onto/yso/p24317>	landscape ecology
<http://www.yso.fi/onto/yso/p8062>	forest ecology
<http://www.yso.fi/onto/yso/p27050>	forest management
<http://www.yso.fi/onto/yso/p11>	nature conservation
<http://www.yso.fi/onto/yso/p5497>	natural diversity
<http://www.yso.fi/onto/yso/p5496>	biodiversity
<http://www.yso.fi/onto/yso/p4997>	ecosystems
<http://www.yso.fi/onto/yso/p4996>	forest ecosystems
<http://www.yso.fi/onto/yso/p4787>	simulation
<http://www.yso.fi/onto/yso/p13477>	optimisation
