<http://www.yso.fi/onto/yso/p634>	ecology
<http://www.yso.fi/onto/yso/p4636>	biotic communities
<http://www.yso.fi/onto/yso/p5496>	biodiversity
<http://www.yso.fi/onto/yso/p9005>	population genetics
<http://www.yso.fi/onto/yso/p27238>	genetic polymorphism
<http://www.yso.fi/onto/yso/p11>	nature conservation
<http://www.yso.fi/onto/yso/p26686>	Calopterygidae
<http://www.yso.fi/onto/yso/p28168>	beautiful demoiselle
<http://www.yso.fi/onto/yso/p27865>	banded demoiselle
<http://www.yso.fi/onto/yso/p5038>	populations
<http://www.yso.fi/onto/yso/p6194>	environmental factors
<http://www.yso.fi/onto/yso/p13374>	inbreeding
<http://www.yso.fi/onto/yso/p4787>	simulation
