<http://www.yso.fi/onto/yso/p26686>	Calopterygidae
<http://www.yso.fi/onto/yso/p28168>	beautiful demoiselle
<http://www.yso.fi/onto/yso/p27865>	banded demoiselle
<http://www.yso.fi/onto/yso/p5038>	populations
<http://www.yso.fi/onto/yso/p9005>	population genetics
<http://www.yso.fi/onto/yso/p26497>	hybridisation
<http://www.yso.fi/onto/yso/p9176>	hybrids
<http://www.yso.fi/onto/yso/p12288>	markers
<http://www.yso.fi/onto/yso/p12287>	microsatellites
<http://www.yso.fi/onto/yso/p5683>	reproduction (biology)
<http://www.yso.fi/onto/yso/p10522>	reproductive behaviour
<http://www.yso.fi/onto/yso/p20947>	mating
<http://www.yso.fi/onto/yso/p20289>	copulation
<http://www.yso.fi/onto/yso/p12299>	territories (zoology)
