<http://www.yso.fi/onto/yso/p14336>	hip hop
<http://www.yso.fi/onto/yso/p10871>	rap music
<http://www.yso.fi/onto/yso/p1365>	lyric poetry
<http://www.yso.fi/onto/yso/p10196>	music culture
<http://www.yso.fi/onto/yso/p3867>	globalisation
<http://www.yso.fi/onto/yso/p4880>	Finnish identity
<http://www.yso.fi/onto/yso/p4881>	local character
<http://www.yso.fi/onto/yso/p8127>	regional identity
<http://www.yso.fi/onto/yso/p11873>	genuineness
<http://www.yso.fi/onto/yso/p11872>	authenticity
<http://www.yso.fi/onto/yso/p1289>	performing artists
<http://www.yso.fi/onto/yso/p5329>	entertainers
<http://www.yso.fi/onto/yso/p1353>	sociolinguistics
<http://www.yso.fi/onto/yso/p94426>	Finland
