<http://www.yso.fi/onto/yso/p11307>	epidemiology
<http://www.yso.fi/onto/yso/p415>	research methods
<http://www.yso.fi/onto/yso/p20596>	cost effectiveness
<http://www.yso.fi/onto/yso/p13719>	follow-up study
<http://www.yso.fi/onto/yso/p14610>	longitudinal research
<http://www.yso.fi/onto/yso/p25606>	cohort study
<http://www.yso.fi/onto/yso/p16752>	research material
<http://www.yso.fi/onto/yso/p27250>	data
<http://www.yso.fi/onto/yso/p6085>	methods of analysis
<http://www.yso.fi/onto/yso/p21862>	optimality
<http://www.yso.fi/onto/yso/p4787>	simulation
<http://www.yso.fi/onto/yso/p11098>	health risks
<http://www.yso.fi/onto/yso/p3297>	forecasts
<http://www.yso.fi/onto/yso/p9886>	cardiovascular diseases
<http://www.yso.fi/onto/yso/p5003>	mortality rate
