<http://www.yso.fi/onto/yso/p13820>	theories of the state
<http://www.yso.fi/onto/yso/p18022>	political philosophy
<http://www.yso.fi/onto/yso/p21757>	conceptual history
<http://www.yso.fi/onto/yso/p20>	mass movements
<http://www.yso.fi/onto/yso/p13203>	group behaviour
<http://www.yso.fi/onto/yso/p7139>	social behaviour
<http://www.yso.fi/onto/yso/p3226>	political behaviour
<http://www.yso.fi/onto/yso/p3485>	emotions
<http://www.yso.fi/onto/yso/p10848>	fear (emotions)
<http://www.yso.fi/onto/yso/p2645>	resistance (politics)
<http://www.yso.fi/onto/yso/p742>	democracy
<http://www.yso.fi/onto/yso/p5209>	international relations
