<http://www.yso.fi/onto/yso/p4418>	teaching technology
<http://www.yso.fi/onto/yso/p4786>	simulators
<http://www.yso.fi/onto/yso/p5202>	operating theatres
<http://www.yso.fi/onto/yso/p22367>	endoscopic operations
<http://www.yso.fi/onto/yso/p846>	surgery
<http://www.yso.fi/onto/yso/p6181>	surgeons
<http://www.yso.fi/onto/yso/p9365>	professional skills
<http://www.yso.fi/onto/yso/p8343>	know-how
<http://www.yso.fi/onto/yso/p2630>	teaching and instruction
<http://www.yso.fi/onto/yso/p2945>	learning
<http://www.yso.fi/onto/yso/p16215>	learning experiences
