<http://www.yso.fi/onto/yso/p12290>	time series
<http://www.yso.fi/onto/yso/p22747>	time-series analysis
<http://www.yso.fi/onto/yso/p5520>	data mining
<http://www.yso.fi/onto/yso/p27558>	cluster analysis
<http://www.yso.fi/onto/yso/p7292>	neural networks
<http://www.yso.fi/onto/yso/p7938>	visualisation
<http://www.yso.fi/onto/yso/p1295>	user interfaces
<http://www.yso.fi/onto/yso/p6680>	human-machine systems
<http://www.yso.fi/onto/yso/p4794>	measurement
<http://www.yso.fi/onto/yso/p5635>	measuring technology
<http://www.yso.fi/onto/yso/p2384>	energy production (process industry)
<http://www.yso.fi/onto/yso/p7472>	energy production plants
<http://www.yso.fi/onto/yso/p21125>	biofuel plants
