<http://www.yso.fi/onto/yso/p3053>	plankton
<http://www.yso.fi/onto/yso/p1749>	bacteria
<http://www.yso.fi/onto/yso/p3066>	metabolism
<http://www.yso.fi/onto/yso/p12488>	biogeochemical cycles
<http://www.yso.fi/onto/yso/p22936>	nutrient cycle
<http://www.yso.fi/onto/yso/p22082>	food webs
<http://www.yso.fi/onto/yso/p138>	carbon
<http://www.yso.fi/onto/yso/p14873>	organic material
<http://www.yso.fi/onto/yso/p11963>	humus
<http://www.yso.fi/onto/yso/p3793>	fresh water
<http://www.yso.fi/onto/yso/p3270>	inland waters
<http://www.yso.fi/onto/yso/p9374>	lakes
<http://www.yso.fi/onto/yso/p18535>	ponds
<http://www.yso.fi/onto/yso/p14488>	catchment areas
<http://www.yso.fi/onto/yso/p22814>	subarctic zone
<http://www.yso.fi/onto/yso/p20949>	climatic effects
<http://www.yso.fi/onto/yso/p5729>	climate changes
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p110416>	Quebec
<http://www.yso.fi/onto/yso/p105377>	Canada
