<http://www.yso.fi/onto/yso/p277>	change
<http://www.yso.fi/onto/yso/p12913>	change management (leadership)
<http://www.yso.fi/onto/yso/p24458>	change management (control)
<http://www.yso.fi/onto/yso/p25177>	readiness for change
<http://www.yso.fi/onto/yso/p2419>	success
<http://www.yso.fi/onto/yso/p272>	organisations (systems)
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p25099>	organisational changes
<http://www.yso.fi/onto/yso/p2777>	organisational communication and public relations
<http://www.yso.fi/onto/yso/p182>	action research
<http://www.yso.fi/onto/yso/p10982>	case study
