<http://www.yso.fi/onto/yso/p2851>	art
<http://www.yso.fi/onto/yso/p2739>	fine arts
<http://www.yso.fi/onto/yso/p22874>	visual arts
<http://www.yso.fi/onto/yso/p26260>	facilitation
<http://www.yso.fi/onto/yso/p19845>	art history
<http://www.yso.fi/onto/yso/p5196>	aesthetics
<http://www.yso.fi/onto/yso/p22036>	well-being
<http://www.yso.fi/onto/yso/p1947>	prosperity
<http://www.yso.fi/onto/yso/p14869>	meaningfulness
<http://www.yso.fi/onto/yso/p25140>	positive psychology
<http://www.yso.fi/onto/yso/p2885>	conceptualism
<http://www.yso.fi/onto/yso/p27762>	service plans
<http://www.yso.fi/onto/yso/p11915>	interdisciplinary research
<http://www.yso.fi/onto/yso/p1946>	mental well-being
<http://www.yso.fi/onto/yso/p24415>	flow (experiences)
