<http://www.yso.fi/onto/yso/p15108>	information literacy
<http://www.yso.fi/onto/yso/p2964>	information retrieval
<http://www.yso.fi/onto/yso/p2961>	data acquisition
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p1998>	electronic publications
<http://www.yso.fi/onto/yso/p24267>	online materials
<http://www.yso.fi/onto/yso/p25380>	quality assessment
<http://www.yso.fi/onto/yso/p18727>	collaborative learning
<http://www.yso.fi/onto/yso/p8131>	school children
<http://www.yso.fi/onto/yso/p12736>	general upper secondary school students
<http://www.yso.fi/onto/yso/p3387>	secondary education
