<http://www.yso.fi/onto/yso/p14764>	software industry
<http://www.yso.fi/onto/yso/p3867>	globalisation
<http://www.yso.fi/onto/yso/p17097>	software engineering
<http://www.yso.fi/onto/yso/p21530>	software development
<http://www.yso.fi/onto/yso/p11235>	information technology companies
<http://www.yso.fi/onto/yso/p14953>	international corporations
<http://www.yso.fi/onto/yso/p10645>	interculturalism
<http://www.yso.fi/onto/yso/p656>	obstacles (phenomena)
<http://www.yso.fi/onto/yso/p4813>	obstacles (inanimate objects)
<http://www.yso.fi/onto/yso/p24064>	competence
<http://www.yso.fi/onto/yso/p8343>	know-how
<http://www.yso.fi/onto/yso/p14536>	demands
<http://www.yso.fi/onto/yso/p23847>	competence management
