<http://www.yso.fi/onto/yso/p11534>	art trade
<http://www.yso.fi/onto/yso/p19517>	art dealers
<http://www.yso.fi/onto/yso/p8883>	painting (visual arts)
<http://www.yso.fi/onto/yso/p4029>	commerce
<http://www.yso.fi/onto/yso/p14254>	auction
<http://www.yso.fi/onto/yso/p16488>	assignment
<http://www.yso.fi/onto/yso/p9327>	immaterial capital
<http://www.yso.fi/onto/yso/p15085>	expertise
<http://www.yso.fi/onto/yso/p8343>	know-how
<http://www.yso.fi/onto/yso/p8998>	social capital
<http://www.yso.fi/onto/yso/p408>	social networks
<http://www.yso.fi/onto/yso/p3615>	reputation
<http://www.yso.fi/onto/yso/p1725>	trust
<http://www.yso.fi/onto/yso/p13653>	strategic planning
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p94479>	Russia
