<http://www.yso.fi/onto/yso/p16485>	pupils
<http://www.yso.fi/onto/yso/p21828>	lower comprehensive school
<http://www.yso.fi/onto/yso/p21292>	upper comprehensive school
<http://www.yso.fi/onto/yso/p15765>	physical education (school subject)
<http://www.yso.fi/onto/yso/p4734>	motivation (mental objects)
<http://www.yso.fi/onto/yso/p6088>	beliefs
<http://www.yso.fi/onto/yso/p15140>	appreciation
<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p2123>	development (passive)
<http://www.yso.fi/onto/yso/p11617>	young people
<http://www.yso.fi/onto/yso/p5290>	gender differences
