<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p24012>	immobility
<http://www.yso.fi/onto/yso/p136>	physical strain
<http://www.yso.fi/onto/yso/p282>	nursery schools
<http://www.yso.fi/onto/yso/p18627>	early childhood
<http://www.yso.fi/onto/yso/p8802>	observation
<http://www.yso.fi/onto/yso/p19660>	international comparison
<http://www.yso.fi/onto/yso/p1650>	early childhood education and care
<http://www.yso.fi/onto/yso/p15095>	health enhancing physical activity
<http://www.yso.fi/onto/yso/p105190>	Netherlands
<http://www.yso.fi/onto/yso/p105116>	Australia
