<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/thsys/73336>	N.05.05  Labour law and social legislation
<http://zbw.eu/stw/descriptor/19587-3>	Short-term economic statistics
<http://zbw.eu/stw/descriptor/11318-0>	Public sector pay
<http://zbw.eu/stw/descriptor/17785-2>	Jamaica
<http://zbw.eu/stw/descriptor/10353-3>	Political business cycle
<http://zbw.eu/stw/descriptor/19412-3>	Consumption-based taxation
<http://zbw.eu/stw/descriptor/14393-6>	Machine tool
<http://zbw.eu/stw/thsys/70852>	W.23.02.01  Business associations
<http://zbw.eu/stw/descriptor/10000-1>	Supply
<http://zbw.eu/stw/descriptor/10880-1>	Incoterms
<http://zbw.eu/stw/descriptor/13413-3>	Public administration
<http://zbw.eu/stw/descriptor/16729-3>	Theory-practice divide
<http://zbw.eu/stw/descriptor/14318-6>	Containers
<http://zbw.eu/stw/descriptor/11820-0>	Industrial policy
<http://zbw.eu/stw/thsys/70550>	B.07.02  Product management
<http://zbw.eu/stw/descriptor/19435-5>	Quantity regulation
<http://zbw.eu/stw/thsys/70931>	W.12.04.01  Space flight
<http://zbw.eu/stw/descriptor/19684-5>	National territory
<http://zbw.eu/stw/thsys/73359>	N.06.03.01  Social relations
<http://zbw.eu/stw/descriptor/13377-2>	Enquiry agency
<http://zbw.eu/stw/descriptor/10512-2>	Urbanization
<http://zbw.eu/stw/descriptor/18335-0>	Eating habit
<http://zbw.eu/stw/descriptor/19839-2>	Family maintenace
<http://zbw.eu/stw/descriptor/29763-3>	Counselling
<http://zbw.eu/stw/descriptor/13529-5>	Waterway
<http://zbw.eu/stw/descriptor/11981-4>	Enterprise zone
<http://zbw.eu/stw/descriptor/11274-1>	Highly skilled workers
<http://zbw.eu/stw/descriptor/18966-0>	Green jobs
<http://zbw.eu/stw/descriptor/12974-3>	Electric power industry
<http://zbw.eu/stw/descriptor/26333-1>	Italians
<http://zbw.eu/stw/descriptor/12407-3>	Historical costs
<http://zbw.eu/stw/descriptor/26827-4>	Tunisians
<http://zbw.eu/stw/descriptor/30076-5>	Greenland
<http://zbw.eu/stw/descriptor/16696-6>	Technology assessment
<http://zbw.eu/stw/descriptor/14900-1>	Accessories
<http://zbw.eu/stw/descriptor/11957-1>	Cartography
<http://zbw.eu/stw/descriptor/16808-0>	Polar region
<http://zbw.eu/stw/descriptor/16828-1>	Czechoslovakia
<http://zbw.eu/stw/descriptor/18154-4>	Withholding tax
<http://zbw.eu/stw/descriptor/14702-5>	Plastics
<http://zbw.eu/stw/descriptor/19242-2>	Economic convergence
<http://zbw.eu/stw/descriptor/19812-1>	International labour law
<http://zbw.eu/stw/descriptor/29202-1>	Web-based service
<http://zbw.eu/stw/descriptor/26785-1>	Taiwanese (People)
<http://zbw.eu/stw/descriptor/14139-6>	Horses
<http://zbw.eu/stw/descriptor/10415-0>	Export-led growth
<http://zbw.eu/stw/descriptor/16326-4>	Navy
<http://zbw.eu/stw/descriptor/14463-4>	Watercraft
<http://zbw.eu/stw/descriptor/10908-5>	Non-price competition
<http://zbw.eu/stw/descriptor/26380-6>	Kirghiz
<http://zbw.eu/stw/descriptor/28410-6>	Lifelong learning
<http://zbw.eu/stw/descriptor/27784-5>	Corporate headquarters
<http://zbw.eu/stw/descriptor/12174-0>	Listed company
<http://zbw.eu/stw/descriptor/10304-2>	Labour intensity
<http://zbw.eu/stw/descriptor/19403-4>	Marginal tax rate
<http://zbw.eu/stw/descriptor/10115-5>	Capital stock
<http://zbw.eu/stw/descriptor/19585-0>	Forestry statistics
<http://zbw.eu/stw/descriptor/19133-0>	Relationship marketing
<http://zbw.eu/stw/descriptor/11285-3>	White collar workers
<http://zbw.eu/stw/descriptor/11401-6>	Curriculum
<http://zbw.eu/stw/descriptor/29795-4>	Customer recovery
<http://zbw.eu/stw/descriptor/16674-2>	Social impact
<http://zbw.eu/stw/descriptor/16382-1>	Citizen's action group
<http://zbw.eu/stw/thsys/73373>	N.04.05  Domestic politics and legal policy
<http://zbw.eu/stw/descriptor/17726-4>	Equatorial Guinea
<http://zbw.eu/stw/descriptor/12837-6>	Advertising effects
<http://zbw.eu/stw/thsys/70358>	P.07  Metals
<http://zbw.eu/stw/descriptor/11321-4>	Investment wage
<http://zbw.eu/stw/descriptor/18353-5>	Energy technology
<http://zbw.eu/stw/descriptor/29780-3>	Second-price auction
<http://zbw.eu/stw/thsys/70880>	W.19.02  Film and Music Industry
<http://zbw.eu/stw/descriptor/29971-3>	Comparative statics
<http://zbw.eu/stw/thsys/70865>	V.09.06.02  Defence economics
<http://zbw.eu/stw/descriptor/29628-2>	Capital procurement
<http://zbw.eu/stw/thsys/186754>	B.03.02.02  Cost categories
<http://zbw.eu/stw/descriptor/10206-2>	Monopsony
<http://zbw.eu/stw/descriptor/28023-6>	Autonomy
<http://zbw.eu/stw/descriptor/16209-1>	Political science
<http://zbw.eu/stw/descriptor/19456-4>	Urban real estate market
<http://zbw.eu/stw/descriptor/18316-4>	Sugar farming
<http://zbw.eu/stw/descriptor/17602-1>	India
<http://zbw.eu/stw/descriptor/13723-2>	Financial market
<http://zbw.eu/stw/descriptor/18125-4>	Trade union theory
<http://zbw.eu/stw/descriptor/15483-0>	Operations research
<http://zbw.eu/stw/descriptor/19365-0>	Natural rubber production
<http://zbw.eu/stw/descriptor/19038-1>	Experiment
<http://zbw.eu/stw/descriptor/19400-3>	Laffer curve
<http://zbw.eu/stw/descriptor/14070-2>	Oil crops
<http://zbw.eu/stw/descriptor/14573-4>	Musical instrument
<http://zbw.eu/stw/descriptor/19274-3>	Risk premium
<http://zbw.eu/stw/descriptor/14543-6>	Clock
<http://zbw.eu/stw/descriptor/15733-3>	Water pollution
<http://zbw.eu/stw/descriptor/10312-3>	Law of diminishing returns
<http://zbw.eu/stw/descriptor/24781-5>	Customer value
<http://zbw.eu/stw/descriptor/29923-0>	Metaheuristics
<http://zbw.eu/stw/descriptor/11716-2>	Infrastructure
<http://zbw.eu/stw/descriptor/10629-2>	International economics
<http://zbw.eu/stw/descriptor/18211-4>	Press media
<http://zbw.eu/stw/descriptor/15266-1>	Method of moments
<http://zbw.eu/stw/descriptor/26942-4>	Prevention
<http://zbw.eu/stw/descriptor/18183-4>	Green national accounting
<http://zbw.eu/stw/descriptor/14735-4>	Cosmetics
<http://zbw.eu/stw/descriptor/29676-5>	Indian rupee
<http://zbw.eu/stw/descriptor/12250-3>	Revolving credit
<http://zbw.eu/stw/descriptor/19753-5>	Authority
<http://zbw.eu/stw/descriptor/21002-0>	Deductible
<http://zbw.eu/stw/descriptor/18983-0>	Farm income
<http://zbw.eu/stw/descriptor/27104-4>	Multicultural society
<http://zbw.eu/stw/descriptor/15469-1>	Decision tree
<http://zbw.eu/stw/descriptor/13837-1>	Rent
<http://zbw.eu/stw/descriptor/19741-5>	Field research
<http://zbw.eu/stw/descriptor/15520-6>	Travelling salesman problem
<http://zbw.eu/stw/descriptor/15897-1>	Forest
<http://zbw.eu/stw/descriptor/16170-2>	Aviation law
<http://zbw.eu/stw/descriptor/13701-5>	Large bank
<http://zbw.eu/stw/descriptor/11299-6>	Occupational attainment
<http://zbw.eu/stw/descriptor/12693-4>	Conveyor system
<http://zbw.eu/stw/descriptor/13349-0>	Scientists
<http://zbw.eu/stw/descriptor/16953-5>	Tyrol
<http://zbw.eu/stw/descriptor/26623-6>	Russians
<http://zbw.eu/stw/descriptor/10575-6>	Rural development
<http://zbw.eu/stw/descriptor/12021-4>	Soil conservation
<http://zbw.eu/stw/descriptor/12103-2>	Contingency theory
<http://zbw.eu/stw/descriptor/15628-0>	Nuclear physics
<http://zbw.eu/stw/descriptor/17583-0>	Laos
<http://zbw.eu/stw/descriptor/13518-3>	Air cargo transport
<http://zbw.eu/stw/descriptor/12262-3>	Venture capital
<http://zbw.eu/stw/descriptor/29797-0>	Fast moving consumer goods
<http://zbw.eu/stw/descriptor/20289-1>	Regulation school
<http://zbw.eu/stw/thsys/70256>	P.09.03  Aircrafts
<http://zbw.eu/stw/descriptor/18868-0>	Didactics
<http://zbw.eu/stw/descriptor/16599-4>	Civilization
<http://zbw.eu/stw/descriptor/12777-5>	Marketing cooperation
<http://zbw.eu/stw/descriptor/15107-0>	Business census
<http://zbw.eu/stw/descriptor/18307-5>	Green packaging
<http://zbw.eu/stw/descriptor/18312-5>	Fisheries legislation
<http://zbw.eu/stw/descriptor/16483-2>	Sport policy
<http://zbw.eu/stw/descriptor/15727-5>	Waste treatment
<http://zbw.eu/stw/descriptor/27839-6>	Burnout
<http://zbw.eu/stw/descriptor/11339-6>	Labour dispute
<http://zbw.eu/stw/descriptor/18374-4>	Coal policy
<http://zbw.eu/stw/descriptor/11356-6>	University graduates
<http://zbw.eu/stw/descriptor/15075-1>	Economic indicator
<http://zbw.eu/stw/descriptor/13820-4>	Insurance fraud
<http://zbw.eu/stw/descriptor/29792-3>	Supply function
<http://zbw.eu/stw/descriptor/15038-0>	Graph theory
<http://zbw.eu/stw/descriptor/18386-4>	Mining statistics
<http://zbw.eu/stw/descriptor/11276-4>	Agricultural workers
<http://zbw.eu/stw/descriptor/15362-5>	Heteroscedasticity
<http://zbw.eu/stw/descriptor/19429-0>	Spatial competition
<http://zbw.eu/stw/descriptor/13247-1>	Airline
<http://zbw.eu/stw/descriptor/10572-5>	Joint venture
<http://zbw.eu/stw/descriptor/26541-1>	East Asian
<http://zbw.eu/stw/descriptor/16214-1>	Futures studies
<http://zbw.eu/stw/descriptor/19313-5>	J-curve
<http://zbw.eu/stw/descriptor/26498-4>	Mexican
<http://zbw.eu/stw/descriptor/18842-4>	Producer cooperative
<http://zbw.eu/stw/descriptor/18311-0>	Forestry law
<http://zbw.eu/stw/descriptor/12089-5>	Corporate policy
<http://zbw.eu/stw/descriptor/18749-1>	Residential real estate
<http://zbw.eu/stw/descriptor/14934-5>	Sugar
<http://zbw.eu/stw/descriptor/19189-1>	Maize market
<http://zbw.eu/stw/descriptor/10329-0>	Putty-clay model
<http://zbw.eu/stw/descriptor/15887-4>	Ocean
<http://zbw.eu/stw/thsys/73382>	N.04.03  Political system
<http://zbw.eu/stw/descriptor/11731-6>	Fiscal consolidation
<http://zbw.eu/stw/descriptor/27198-4>	Dynamic capabilities
<http://zbw.eu/stw/descriptor/18834-3>	Nonprofit management
<http://zbw.eu/stw/thsys/73377>	N.04.03.03  Political culture
<http://zbw.eu/stw/descriptor/27762-1>	Office property
<http://zbw.eu/stw/thsys/70011>	N.06.01  Theories and approaches in the social sciences
<http://zbw.eu/stw/descriptor/29855-5>	Business research
<http://zbw.eu/stw/descriptor/29448-4>	Digital music
<http://zbw.eu/stw/descriptor/15868-1>	River
<http://zbw.eu/stw/descriptor/26500-1>	Mongolians
<http://zbw.eu/stw/descriptor/19098-4>	Cost structure
<http://zbw.eu/stw/descriptor/19324-0>	Trade dispute
<http://zbw.eu/stw/thsys/189442>	N.04.06.01  International cooperation
<http://zbw.eu/stw/descriptor/12960-0>	Flower industry
<http://zbw.eu/stw/descriptor/18589-4>	Passenger shipping
<http://zbw.eu/stw/descriptor/13285-0>	Credit guarantee association
<http://zbw.eu/stw/descriptor/13832-4>	Vacation home
<http://zbw.eu/stw/descriptor/10093-3>	Rawls's theory of justice
<http://zbw.eu/stw/descriptor/11042-1>	Monetary economy
<http://zbw.eu/stw/descriptor/27167-1>	Employee monitoring
<http://zbw.eu/stw/descriptor/19635-4>	Historical studies
<http://zbw.eu/stw/descriptor/29848-2>	Traffic flows
<http://zbw.eu/stw/descriptor/19291-3>	Location policy
<http://zbw.eu/stw/descriptor/30142-4>	Fine
<http://zbw.eu/stw/descriptor/18367-1>	Nuclear energy policy
<http://zbw.eu/stw/descriptor/29873-3>	Financial risk
<http://zbw.eu/stw/descriptor/19035-0>	Planning
<http://zbw.eu/stw/descriptor/14805-2>	Cardboard
<http://zbw.eu/stw/descriptor/11803-0>	Agricultural structure
<http://zbw.eu/stw/descriptor/13371-0>	Health care system
<http://zbw.eu/stw/descriptor/12845-0>	Advertising industry
<http://zbw.eu/stw/descriptor/12401-1>	Corporate debt
<http://zbw.eu/stw/descriptor/10718-3>	Currency appreciation
<http://zbw.eu/stw/descriptor/20301-2>	Real options analysis
<http://zbw.eu/stw/descriptor/13871-1>	Professional services
<http://zbw.eu/stw/descriptor/11004-2>	Economic planning
<http://zbw.eu/stw/descriptor/17949-5>	Tonga
<http://zbw.eu/stw/descriptor/19293-6>	Grain price
<http://zbw.eu/stw/descriptor/26394-2>	Croatian
<http://zbw.eu/stw/descriptor/14772-5>	Advanced ceramics
<http://zbw.eu/stw/descriptor/20967-4>	Joint implementation
<http://zbw.eu/stw/descriptor/15778-2>	Environmental precaution
<http://zbw.eu/stw/descriptor/29741-6>	CAFTA countries
<http://zbw.eu/stw/descriptor/19761-6>	Life course
<http://zbw.eu/stw/descriptor/17707-1>	Cape Verde
<http://zbw.eu/stw/descriptor/29713-4>	EU budget
<http://zbw.eu/stw/thsys/70445>	G.03.02  East Africa
<http://zbw.eu/stw/descriptor/19570-6>	Structural break
<http://zbw.eu/stw/descriptor/14462-6>	Tanker
<http://zbw.eu/stw/descriptor/17682-5>	Lesotho
<http://zbw.eu/stw/descriptor/16363-5>	Liberal party
<http://zbw.eu/stw/descriptor/19042-3>	Forecast
<http://zbw.eu/stw/descriptor/12922-1>	Resources sector
<http://zbw.eu/stw/descriptor/15142-5>	Descriptive statistics
<http://zbw.eu/stw/descriptor/19651-6>	Website
<http://zbw.eu/stw/descriptor/11070-3>	Working class
<http://zbw.eu/stw/descriptor/30102-2>	Polynesia
<http://zbw.eu/stw/descriptor/18135-1>	Saxony-Anhalt
<http://zbw.eu/stw/descriptor/19574-5>	ARCH model
<http://zbw.eu/stw/descriptor/18673-1>	Informal finance
<http://zbw.eu/stw/descriptor/17943-3>	Papua New Guinea
<http://zbw.eu/stw/descriptor/17723-3>	Togo
<http://zbw.eu/stw/descriptor/16395-6>	Terrorism
<http://zbw.eu/stw/descriptor/29986-4>	Research evaluation
<http://zbw.eu/stw/descriptor/11992-6>	Urban sociology
<http://zbw.eu/stw/descriptor/10785-2>	International payments
<http://zbw.eu/stw/descriptor/13935-1>	Textile workers
<http://zbw.eu/stw/thsys/73358>	N.06.03.02  Social groups
<http://zbw.eu/stw/thsys/72393>	V.01.02.02  Econometrics
<http://zbw.eu/stw/descriptor/13292-3>	Health insurance
<http://zbw.eu/stw/descriptor/15023-6>	Cohort analysis
<http://zbw.eu/stw/descriptor/14143-1>	Sheep
<http://zbw.eu/stw/descriptor/15974-2>	Rule of law
<http://zbw.eu/stw/descriptor/18393-0>	Oil production technology
<http://zbw.eu/stw/descriptor/11592-1>	State budget
<http://zbw.eu/stw/descriptor/19380-4>	Public budgeting
<http://zbw.eu/stw/descriptor/25743-1>	Schumpeterian approach
<http://zbw.eu/stw/descriptor/26676-6>	Senegalese (People)
<http://zbw.eu/stw/descriptor/19161-2>	Owners
<http://zbw.eu/stw/descriptor/19542-4>	Conjoint analysis
<http://zbw.eu/stw/descriptor/19273-5>	Rural financial sector
<http://zbw.eu/stw/descriptor/18537-2>	Hanseatic League
<http://zbw.eu/stw/thsys/70397>	B.08.01  Tax accounting
<http://zbw.eu/stw/descriptor/12668-3>	Cooperative purchasing
<http://zbw.eu/stw/descriptor/18359-0>	Electric power engineering
<http://zbw.eu/stw/descriptor/18498-0>	Airport construction
<http://zbw.eu/stw/descriptor/13348-2>	Psychotherapy
<http://zbw.eu/stw/descriptor/12285-5>	Capital income
<http://zbw.eu/stw/descriptor/11875-3>	Spatial structure
<http://zbw.eu/stw/descriptor/29975-2>	Central limit theorem
<http://zbw.eu/stw/descriptor/21042-2>	East Timor
<http://zbw.eu/stw/descriptor/25822-5>	Corporate social responsibility
<http://zbw.eu/stw/descriptor/12509-2>	Variable costs
<http://zbw.eu/stw/descriptor/26555-4>	Austrian
<http://zbw.eu/stw/descriptor/15074-3>	Environmental statistics
<http://zbw.eu/stw/descriptor/16509-3>	Domestic politics
<http://zbw.eu/stw/descriptor/13379-5>	IT service provider
<http://zbw.eu/stw/descriptor/30063-0>	Nation buildung
<http://zbw.eu/stw/descriptor/12640-4>	Procurement
<http://zbw.eu/stw/descriptor/14936-1>	Cereal product
<http://zbw.eu/stw/descriptor/19902-0>	Employment system
<http://zbw.eu/stw/descriptor/19241-4>	Seasonal variations
<http://zbw.eu/stw/descriptor/29970-5>	Business mathematics
<http://zbw.eu/stw/descriptor/18010-0>	Sector development
<http://zbw.eu/stw/descriptor/18328-4>	Land-use intensity
<http://zbw.eu/stw/descriptor/12504-5>	Production costs
<http://zbw.eu/stw/descriptor/12883-6>	Computer-assisted audit tools
<http://zbw.eu/stw/descriptor/15415-3>	Cybernetics
<http://zbw.eu/stw/descriptor/29342-6>	Postal market
<http://zbw.eu/stw/descriptor/29733-5>	Asset-market approach of the exchange rate
<http://zbw.eu/stw/descriptor/12186-0>	Corporation
<http://zbw.eu/stw/descriptor/15910-0>	Population density
<http://zbw.eu/stw/descriptor/15515-6>	Sensitivity analysis
<http://zbw.eu/stw/descriptor/10515-3>	Dependency theory
<http://zbw.eu/stw/descriptor/27683-4>	Event
<http://zbw.eu/stw/descriptor/16709-2>	Ethics
<http://zbw.eu/stw/descriptor/19399-4>	Public credit programme
<http://zbw.eu/stw/descriptor/16730-4>	Value judgement
<http://zbw.eu/stw/descriptor/11812-6>	Energy supply
<http://zbw.eu/stw/descriptor/18254-0>	Technical gas
<http://zbw.eu/stw/descriptor/18000-3>	Telecommunications network
<http://zbw.eu/stw/descriptor/29891-1>	Median
<http://zbw.eu/stw/descriptor/29555-3>	SME research
<http://zbw.eu/stw/descriptor/15899-4>	Outer space
<http://zbw.eu/stw/descriptor/18163-3>	Electricity price
<http://zbw.eu/stw/descriptor/12889-1>	Tax consultancy
<http://zbw.eu/stw/descriptor/12952-6>	Sheep farming
<http://zbw.eu/stw/descriptor/13621-3>	Freight transport
<http://zbw.eu/stw/descriptor/10913-5>	Market concentration
<http://zbw.eu/stw/descriptor/12711-0>	Manufacturing technology
<http://zbw.eu/stw/descriptor/16914-1>	Schleswig-Holstein
<http://zbw.eu/stw/descriptor/10473-0>	Technology choice
<http://zbw.eu/stw/descriptor/18635-2>	Spa
<http://zbw.eu/stw/descriptor/19789-5>	Diabetes
<http://zbw.eu/stw/descriptor/16562-6>	Social economics
<http://zbw.eu/stw/descriptor/11707-3>	Tax revenue forecasting
<http://zbw.eu/stw/descriptor/29616-2>	International management
<http://zbw.eu/stw/descriptor/26859-5>	Western
<http://zbw.eu/stw/descriptor/10301-1>	Consumer goods
<http://zbw.eu/stw/thsys/70095>	N.04  Politics and political science
<http://zbw.eu/stw/descriptor/29917-2>	Heterodox economics
<http://zbw.eu/stw/descriptor/16278-3>	Political integration
<http://zbw.eu/stw/descriptor/17978-5>	Arab countries
<http://zbw.eu/stw/descriptor/14205-5>	Salt
<http://zbw.eu/stw/thsys/70538>	P.04  Energy and Water
<http://zbw.eu/stw/descriptor/13655-0>	Television
<http://zbw.eu/stw/descriptor/19418-5>	Cash-flow tax
<http://zbw.eu/stw/descriptor/18240-4>	Titanium
<http://zbw.eu/stw/descriptor/18343-1>	Fishery resources
<http://zbw.eu/stw/descriptor/16041-6>	Civil litigation
<http://zbw.eu/stw/descriptor/14507-3>	Major electrical appliances
<http://zbw.eu/stw/descriptor/17569-1>	North Korea
<http://zbw.eu/stw/descriptor/15535-0>	Integer programming
<http://zbw.eu/stw/descriptor/12567-2>	Human Resource Management
<http://zbw.eu/stw/descriptor/15089-4>	Wage statistics
<http://zbw.eu/stw/descriptor/18895-4>	Traditional medicine
<http://zbw.eu/stw/descriptor/10018-3>	Underground economy
<http://zbw.eu/stw/descriptor/29821-1>	Vendor-managed inventory
<http://zbw.eu/stw/descriptor/14047-4>	Raw materials
<http://zbw.eu/stw/descriptor/12592-3>	Employee benefits
<http://zbw.eu/stw/descriptor/13199-0>	Drugstore
<http://zbw.eu/stw/descriptor/13888-5>	Chemical workers
