<http://www.yso.fi/onto/yso/p19899>	Häme Castle
<http://www.yso.fi/onto/yso/p28242>	search engine poetry
<http://www.yso.fi/onto/yso/p20535>	computed tomography
<http://www.yso.fi/onto/yso/p15542>	Aswan Dam
<http://www.yso.fi/onto/yso/p16523>	environmental sociology
<http://www.yso.fi/onto/yso/p26050>	Zeitgeist movement
<http://www.yso.fi/onto/yso/p17242>	Church of Saint Elias (Helsinki)
<http://www.yso.fi/onto/yso/p17022>	basketball players
<http://www.yso.fi/onto/yso/p10060>	developmentally disabled
<http://www.yso.fi/onto/yso/p128086>	Tyrvää
<http://www.yso.fi/onto/yso/p14714>	Suur-Sarvilahti manor
<http://www.yso.fi/onto/yso/p10161>	children's language
<http://www.yso.fi/onto/yso/p16148>	hemorrhage
<http://www.yso.fi/onto/yso/p2609>	amnesia
<http://www.yso.fi/onto/yso/p30212>	Scottish Gaelic language literature
<http://www.yso.fi/onto/yso/p9527>	Paneuropean movement
<http://www.yso.fi/onto/yso/p5431>	ventilation
<http://www.yso.fi/onto/yso/p18305>	citations
<http://www.yso.fi/onto/yso/p10530>	sprouts
<http://www.yso.fi/onto/yso/p24325>	inhibitors
<http://www.yso.fi/onto/yso/p10836>	colloidal chemistry
<http://www.yso.fi/onto/yso/p8256>	school celebrations
<http://www.yso.fi/onto/yso/p22227>	connections to working life
<http://www.yso.fi/onto/yso/p10579>	employment relationship
<http://www.yso.fi/onto/yso/p21737>	pivotal response training
<http://www.yso.fi/onto/yso/p37726>	hambo (dance)
<http://www.yso.fi/onto/yso/p1028>	educational institutions
<http://www.yso.fi/onto/yso/p2978>	governments (countries)
<http://www.yso.fi/onto/yso/p8328>	energy efficiency
<http://www.yso.fi/onto/yso/p15393>	Päijänteen ympäriajo
<http://www.yso.fi/onto/yso/p623>	hierarchy
<http://www.yso.fi/onto/yso/p18820>	numerical mathematics
<http://www.yso.fi/onto/yso/p27610>	ISBN
<http://www.yso.fi/onto/yso/p16731>	heart
