<http://zbw.eu/stw/descriptor/19664-4>	Financial crisis
<http://zbw.eu/stw/descriptor/18674-6>	Behavioural finance
<http://zbw.eu/stw/descriptor/15458-6>	Game theory
<http://zbw.eu/stw/descriptor/30178-4>	Market liquidity
<http://zbw.eu/stw/descriptor/13777-0>	Credit risk
<http://zbw.eu/stw/descriptor/13688-6>	Banking crisis
<http://zbw.eu/stw/descriptor/19321-6>	Financial market regulation
<http://zbw.eu/stw/descriptor/29635-5>	Structured product
<http://zbw.eu/stw/descriptor/18685-1>	Asset-backed securities
<http://zbw.eu/stw/descriptor/19275-1>	Commercial paper
<http://zbw.eu/stw/descriptor/19073-6>	Theory
