<http://zbw.eu/stw/descriptor/13687-1>	Banking supervision
<http://zbw.eu/stw/descriptor/18810-3>	Regulatory agency
<http://zbw.eu/stw/descriptor/11289-2>	Civil servants
<http://zbw.eu/stw/descriptor/11187-3>	Working time
<http://zbw.eu/stw/descriptor/11260-5>	Time use
<http://zbw.eu/stw/descriptor/29822-6>	Job performance
<http://zbw.eu/stw/descriptor/19250-3>	Economies of scope
<http://zbw.eu/stw/descriptor/19195-6>	Bottleneck
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/17829-1>	United States
