<http://www.yso.fi/onto/yso/p10954>	recent history
<http://www.yso.fi/onto/yso/p13376>	political culture
<http://www.yso.fi/onto/yso/p12259>	political decision making
<http://www.yso.fi/onto/yso/p2387>	energy policy
<http://www.yso.fi/onto/yso/p17560>	nuclear energy
<http://www.yso.fi/onto/yso/p14463>	nuclear technology
<http://www.yso.fi/onto/yso/p28784>	nuclear accidents
<http://www.yso.fi/onto/yso/p4953>	energy management
<http://www.yso.fi/onto/yso/p7828>	conversation analysis
<http://www.yso.fi/onto/yso/p19406>	concept analysis
<http://www.yso.fi/onto/yso/p742>	democracy
<http://www.yso.fi/onto/yso/p19679>	domestic policy
<http://www.yso.fi/onto/yso/p12405>	foreign policy
<http://www.yso.fi/onto/yso/p105087>	Germany
