<http://www.yso.fi/onto/yso/p13022>	sitting
<http://www.yso.fi/onto/yso/p2784>	muscles
<http://www.yso.fi/onto/yso/p17680>	passivity
<http://www.yso.fi/onto/yso/p22356>	electromyography
<http://www.yso.fi/onto/yso/p24012>	immobility
<http://www.yso.fi/onto/yso/p25129>	health hazards
<http://www.yso.fi/onto/yso/p20341>	physical education guidance
<http://www.yso.fi/onto/yso/p2794>	family (phenomena)
<http://www.yso.fi/onto/yso/p16289>	incidental exercise
<http://www.yso.fi/onto/yso/p26989>	body composition
<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p14978>	promotion (furtherance)
<http://www.yso.fi/onto/yso/p12214>	sports physiology
