<http://www.yso.fi/onto/yso/p15057>	national economy
<http://www.yso.fi/onto/yso/p11238>	economic effects
<http://www.yso.fi/onto/yso/p1181>	business operations
<http://www.yso.fi/onto/yso/p1427>	lines of business
<http://www.yso.fi/onto/yso/p13463>	workplaces
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p9824>	physical activity services
<http://www.yso.fi/onto/yso/p4614>	sports clothes
<http://www.yso.fi/onto/yso/p3663>	physical training equipment
<http://www.yso.fi/onto/yso/p1963>	sports events
<http://www.yso.fi/onto/yso/p18529>	physical training equipment industry
<http://www.yso.fi/onto/yso/p998>	industry
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p965>	sports
<http://www.yso.fi/onto/yso/p6357>	employment
<http://www.yso.fi/onto/yso/p944>	production
<http://www.yso.fi/onto/yso/p4558>	import
<http://www.yso.fi/onto/yso/p4560>	export
<http://www.yso.fi/onto/yso/p22005>	increase in value
<http://www.yso.fi/onto/yso/p12140>	gross domestic product
<http://www.yso.fi/onto/yso/p1087>	excise tax
<http://www.yso.fi/onto/yso/p9921>	supply
<http://www.yso.fi/onto/yso/p8574>	consumption
