<http://www.yso.fi/onto/yso/p8822>	pathogens
<http://www.yso.fi/onto/yso/p46>	fish diseases
<http://www.yso.fi/onto/yso/p19293>	bacterial diseases
<http://www.yso.fi/onto/yso/p1749>	bacteria
<http://www.yso.fi/onto/yso/p5859>	communities (groups)
<http://www.yso.fi/onto/yso/p28481>	virulence
<http://www.yso.fi/onto/yso/p6884>	spreading (process)
<http://www.yso.fi/onto/yso/p21661>	genetic factors
<http://www.yso.fi/onto/yso/p6194>	environmental factors
<http://www.yso.fi/onto/yso/p3938>	nutrients (plants)
<http://www.yso.fi/onto/yso/p1097>	secretion
<http://www.yso.fi/onto/yso/p4332>	proteins
