<http://www.yso.fi/onto/yso/p26927>	insomnia
<http://www.yso.fi/onto/yso/p4600>	sleep disorders
<http://www.yso.fi/onto/yso/p823>	obesity
<http://www.yso.fi/onto/yso/p826>	overweight
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p3790>	diets
<http://www.yso.fi/onto/yso/p5748>	dietetics
<http://www.yso.fi/onto/yso/p21006>	falling asleep
<http://www.yso.fi/onto/yso/p8173>	men
<http://www.yso.fi/onto/yso/p11718>	middle-aged persons
<http://www.yso.fi/onto/yso/p13229>	sports medicine
