<http://www.yso.fi/onto/yso/p17211>	decayed wood
<http://www.yso.fi/onto/yso/p90>	fungi
<http://www.yso.fi/onto/yso/p2513>	wood-decaying fungi
<http://www.yso.fi/onto/yso/p23434>	corticioids
<http://www.yso.fi/onto/yso/p4636>	biotic communities
<http://www.yso.fi/onto/yso/p5496>	biodiversity
<http://www.yso.fi/onto/yso/p17523>	determination of species
<http://www.yso.fi/onto/yso/p16692>	boreal zone
<http://www.yso.fi/onto/yso/p4996>	forest ecosystems
<http://www.yso.fi/onto/yso/p14250>	natural forests
<http://www.yso.fi/onto/yso/p19196>	commercial forests
