<http://www.yso.fi/onto/yso/p46>	fish diseases
<http://www.yso.fi/onto/yso/p19293>	bacterial diseases
<http://www.yso.fi/onto/yso/p12978>	infectious diseases
<http://www.yso.fi/onto/yso/p7316>	infections
<http://www.yso.fi/onto/yso/p8822>	pathogens
<http://www.yso.fi/onto/yso/p1749>	bacteria
<http://www.yso.fi/onto/yso/p28481>	virulence
<http://www.yso.fi/onto/yso/p19504>	nutrient content
<http://www.yso.fi/onto/yso/p5096>	fish culture
<http://www.yso.fi/onto/yso/p10003>	fish farms
<http://www.yso.fi/onto/yso/p12317>	rainbow trout
<http://www.yso.fi/onto/yso/p22697>	zebra fish
