<http://www.yso.fi/onto/yso/p11000>	aquatic ecosystems
<http://www.yso.fi/onto/yso/p21528>	ecological status
<http://www.yso.fi/onto/yso/p10540>	zoobenthos
<http://www.yso.fi/onto/yso/p3931>	invertebrates
<http://www.yso.fi/onto/yso/p3628>	monitoring
<http://www.yso.fi/onto/yso/p11477>	automation
<http://www.yso.fi/onto/yso/p17523>	determination of species
<http://www.yso.fi/onto/yso/p3127>	statistical methods
<http://www.yso.fi/onto/yso/p17803>	Bayesian analysis
<http://www.yso.fi/onto/yso/p9915>	indexes (comparative figures)
<http://www.yso.fi/onto/yso/p148>	errors
<http://www.yso.fi/onto/yso/p9865>	error analysis
