<http://www.yso.fi/onto/yso/p27238>	genetic polymorphism
<http://www.yso.fi/onto/yso/p8863>	genotype
<http://www.yso.fi/onto/yso/p20737>	clones
<http://www.yso.fi/onto/yso/p11878>	Lumbricidae
<http://www.yso.fi/onto/yso/p25831>	gene expression
<http://www.yso.fi/onto/yso/p4997>	ecosystems
<http://www.yso.fi/onto/yso/p5496>	biodiversity
<http://www.yso.fi/onto/yso/p28210>	decomposition (biodegradation)
<http://www.yso.fi/onto/yso/p19637>	soil pollution
<http://www.yso.fi/onto/yso/p6877>	polluted areas
<http://www.yso.fi/onto/yso/p3097>	metals
<http://www.yso.fi/onto/yso/p19637>	soil pollution
