<http://www.yso.fi/onto/yso/p22976>	nanomaterials
<http://www.yso.fi/onto/yso/p25315>	nanostructures
<http://www.yso.fi/onto/yso/p138>	carbon
<http://www.yso.fi/onto/yso/p25870>	optical properties
<http://www.yso.fi/onto/yso/p9399>	electric conductivity
<http://www.yso.fi/onto/yso/p10992>	optoelectronics
<http://www.yso.fi/onto/yso/p16104>	transistors
<http://www.yso.fi/onto/yso/p25661>	nanotubes
<http://www.yso.fi/onto/yso/p926>	polymers
<http://www.yso.fi/onto/yso/p16644>	thin films
<http://www.yso.fi/onto/yso/p24483>	graphene
<http://www.yso.fi/onto/yso/p10176>	spectroscopy
