<http://www.yso.fi/onto/yso/p3312>	parenthood
<http://www.yso.fi/onto/yso/p12279>	mothers
<http://www.yso.fi/onto/yso/p11063>	fathers
<http://www.yso.fi/onto/yso/p14130>	upbringing at home
<http://www.yso.fi/onto/yso/p16485>	pupils
<http://www.yso.fi/onto/yso/p17640>	school beginners
<http://www.yso.fi/onto/yso/p6138>	social development
<http://www.yso.fi/onto/yso/p12114>	emotional development
<http://www.yso.fi/onto/yso/p7077>	temperament
<http://www.yso.fi/onto/yso/p291>	personality traits
<http://www.yso.fi/onto/yso/p13539>	shyness
