<http://www.yso.fi/onto/yso/p823>	obesity
<http://www.yso.fi/onto/yso/p826>	overweight
<http://www.yso.fi/onto/yso/p26989>	body composition
<http://www.yso.fi/onto/yso/p11098>	health risks
<http://www.yso.fi/onto/yso/p9886>	cardiovascular diseases
<http://www.yso.fi/onto/yso/p6239>	metabolic disorders
<http://www.yso.fi/onto/yso/p12288>	markers
<http://www.yso.fi/onto/yso/p11617>	young people
<http://www.yso.fi/onto/yso/p11718>	middle-aged persons
<http://www.yso.fi/onto/yso/p7196>	girls
<http://www.yso.fi/onto/yso/p16991>	women
<http://www.yso.fi/onto/yso/p13229>	sports medicine
