<http://www.yso.fi/onto/yso/p16485>	pupils
<http://www.yso.fi/onto/yso/p6914>	school-age children
<http://www.yso.fi/onto/yso/p8586>	study performance
<http://www.yso.fi/onto/yso/p8584>	school achievements
<http://www.yso.fi/onto/yso/p2419>	success
<http://www.yso.fi/onto/yso/p2436>	failure
<http://www.yso.fi/onto/yso/p6752>	causes
<http://www.yso.fi/onto/yso/p4074>	parents
<http://www.yso.fi/onto/yso/p12279>	mothers
<http://www.yso.fi/onto/yso/p11063>	fathers
<http://www.yso.fi/onto/yso/p2260>	parent-child relationship
<http://www.yso.fi/onto/yso/p2125>	child development
