<http://www.yso.fi/onto/yso/p15738>	water quality
<http://www.yso.fi/onto/yso/p3628>	monitoring
<http://www.yso.fi/onto/yso/p25870>	optical properties
<http://www.yso.fi/onto/yso/p3265>	fluorescence
<http://www.yso.fi/onto/yso/p4794>	measurement
<http://www.yso.fi/onto/yso/p3583>	measuring instruments (devices)
<http://www.yso.fi/onto/yso/p11477>	automation
<http://www.yso.fi/onto/yso/p9374>	lakes
<http://www.yso.fi/onto/yso/p24233>	humus lakes
<http://www.yso.fi/onto/yso/p11963>	humus
<http://www.yso.fi/onto/yso/p14873>	organic material
<http://www.yso.fi/onto/yso/p3007>	chlorophyll
<http://www.yso.fi/onto/yso/p11518>	oxygen
<http://www.yso.fi/onto/yso/p2100>	temperature
<http://www.yso.fi/onto/yso/p121328>	Jyväsjärvi
