<http://www.yso.fi/onto/yso/p1480>	bivalvia
<http://www.yso.fi/onto/yso/p14177>	Margaritana margaritifera
<http://www.yso.fi/onto/yso/p5038>	populations
<http://www.yso.fi/onto/yso/p10296>	larvae
<http://www.yso.fi/onto/yso/p8362>	parasitism
<http://www.yso.fi/onto/yso/p23998>	host species
<http://www.yso.fi/onto/yso/p4245>	Salmoniformes
<http://www.yso.fi/onto/yso/p15656>	salmon
<http://www.yso.fi/onto/yso/p22647>	Atlantic salmon
<http://www.yso.fi/onto/yso/p13633>	trout
<http://www.yso.fi/onto/yso/p19040>	brown trout (riverine)
<http://www.yso.fi/onto/yso/p11045>	brook trout
<http://www.yso.fi/onto/yso/p2290>	protection (activity)
<http://www.yso.fi/onto/yso/p4248>	flowing waters
<http://www.yso.fi/onto/yso/p1110>	protection of fauna
<http://www.yso.fi/onto/yso/p23747>	introduced species
