<http://www.yso.fi/onto/yso/p23942>	digital marketing
<http://www.yso.fi/onto/yso/p6851>	analysis
<http://www.yso.fi/onto/yso/p4794>	measurement
<http://www.yso.fi/onto/yso/p8802>	observation
<http://www.yso.fi/onto/yso/p13477>	optimisation
<http://www.yso.fi/onto/yso/p12743>	business-to-business marketing
<http://www.yso.fi/onto/yso/p8692>	digitalisation
<http://www.yso.fi/onto/yso/p272>	organisations (systems)
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p5396>	results
<http://www.yso.fi/onto/yso/p795>	effects (results)
<http://www.yso.fi/onto/yso/p27250>	data
<http://www.yso.fi/onto/yso/p14428>	information (data)
