<http://www.yso.fi/onto/yso/p1383>	pulp industry
<http://www.yso.fi/onto/yso/p6396>	chemical wood pulp
<http://www.yso.fi/onto/yso/p2861>	by-products
<http://www.yso.fi/onto/yso/p11190>	recovery (recapture)
<http://www.yso.fi/onto/yso/p24480>	black liquor
<http://www.yso.fi/onto/yso/p8414>	sodium
<http://www.yso.fi/onto/yso/p27282>	carboxylic acids
<http://www.yso.fi/onto/yso/p19011>	lignin
<http://www.yso.fi/onto/yso/p11144>	esters
<http://www.yso.fi/onto/yso/p13089>	pine oil
<http://www.yso.fi/onto/yso/p4800>	fatty acids
