<http://www.yso.fi/onto/yso/p18649>	informatics
<http://www.yso.fi/onto/yso/p5462>	information technology
<http://www.yso.fi/onto/yso/p2630>	teaching and instruction
<http://www.yso.fi/onto/yso/p16485>	pupils
<http://www.yso.fi/onto/yso/p12736>	general upper secondary school students
<http://www.yso.fi/onto/yso/p11430>	information technology sector
<http://www.yso.fi/onto/yso/p26466>	interest
<http://www.yso.fi/onto/yso/p13164>	studies in an institution of higher education
<http://www.yso.fi/onto/yso/p15898>	career choice
<http://www.yso.fi/onto/yso/p11391>	summer universities
<http://www.yso.fi/onto/yso/p9270>	courses (societal objects)
<http://www.yso.fi/onto/yso/p19245>	workshops
<http://www.yso.fi/onto/yso/p7642>	clubs (recreational)
<http://www.yso.fi/onto/yso/p7641>	club activities
<http://www.yso.fi/onto/yso/p4887>	programming
<http://www.yso.fi/onto/yso/p25355>	game programming
