<http://www.yso.fi/onto/yso/p15296>	secularisation
<http://www.yso.fi/onto/yso/p3835>	communities (organisations)
<http://www.yso.fi/onto/yso/p5522>	communality
<http://www.yso.fi/onto/yso/p25798>	intercultural interaction
<http://www.yso.fi/onto/yso/p10645>	interculturalism
<http://www.yso.fi/onto/yso/p10647>	multiculturalism
<http://www.yso.fi/onto/yso/p2975>	cross-cultural research
<http://www.yso.fi/onto/yso/p21078>	discourse research
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p856>	mass media
<http://www.yso.fi/onto/yso/p14168>	media studies
<http://www.yso.fi/onto/yso/p1407>	representation (mental objects)
<http://www.yso.fi/onto/yso/p2551>	power (societal objects)
<http://www.yso.fi/onto/yso/p9743>	identity (mental objects)
<http://www.yso.fi/onto/yso/p6415>	religion (phenomena)
<http://www.yso.fi/onto/yso/p104968>	France
