<http://www.yso.fi/onto/yso/p3201>	environmental chemistry
<http://www.yso.fi/onto/yso/p1707>	medicinal substances
<http://www.yso.fi/onto/yso/p22309>	anti-inflammatory analgesics
<http://www.yso.fi/onto/yso/p1352>	concentration (chemical properties)
<http://www.yso.fi/onto/yso/p18726>	seasonal variations
<http://www.yso.fi/onto/yso/p5794>	sewage
<http://www.yso.fi/onto/yso/p17761>	waste water treatment
<http://www.yso.fi/onto/yso/p8098>	sewage treatment plants
<http://www.yso.fi/onto/yso/p11704>	surface water
<http://www.yso.fi/onto/yso/p14605>	sediments
<http://www.yso.fi/onto/yso/p12611>	sampling (inspection)
<http://www.yso.fi/onto/yso/p24538>	liquid chromatography
<http://www.yso.fi/onto/yso/p10755>	mass spectrometry
<http://www.yso.fi/onto/yso/p104958>	Päijänne
<http://www.yso.fi/onto/yso/p105124>	Vantaa River
