<http://www.yso.fi/onto/yso/p4541>	ADHD
<http://www.yso.fi/onto/yso/p14134>	diagnosis
<http://www.yso.fi/onto/yso/p10624>	school attendance
<http://www.yso.fi/onto/yso/p1050>	teacher-pupil relationship
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p11617>	young people
<http://www.yso.fi/onto/yso/p4074>	parents
<http://www.yso.fi/onto/yso/p12279>	mothers
<http://www.yso.fi/onto/yso/p38174>	ECEC partnership
<http://www.yso.fi/onto/yso/p21870>	sociocultural factors
<http://www.yso.fi/onto/yso/p17923>	social constructivism
<http://www.yso.fi/onto/yso/p27796>	narrative psychology
<http://www.yso.fi/onto/yso/p21078>	discourse research
