<http://www.yso.fi/onto/yso/p10319>	Cold War
<http://www.yso.fi/onto/yso/p447>	socialism
<http://www.yso.fi/onto/yso/p6697>	revisionism
<http://www.yso.fi/onto/yso/p3377>	Stalinism
<http://www.yso.fi/onto/yso/p7137>	social control
<http://www.yso.fi/onto/yso/p7325>	societal planning
<http://www.yso.fi/onto/yso/p13376>	political culture
<http://www.yso.fi/onto/yso/p3908>	societal policy
<http://www.yso.fi/onto/yso/p13670>	science policy
<http://www.yso.fi/onto/yso/p1632>	psychology
<http://www.yso.fi/onto/yso/p6875>	psychologists
<http://www.yso.fi/onto/yso/p18805>	intellectual history
<http://www.yso.fi/onto/yso/p16328>	history of science
<http://www.yso.fi/onto/yso/p5766>	pragmatism
<http://www.yso.fi/onto/yso/p13523>	textual research
<http://www.yso.fi/onto/yso/p21012>	language research
<http://www.yso.fi/onto/yso/p23891>	contextuality
<http://www.yso.fi/onto/yso/p105029>	Hungary
<http://www.yso.fi/onto/yso/p105223>	Eastern Europe
