<http://www.yso.fi/onto/yso/p17789>	economic history
<http://www.yso.fi/onto/yso/p20003>	economists
<http://www.yso.fi/onto/yso/p9327>	immaterial capital
<http://www.yso.fi/onto/yso/p21757>	conceptual history
<http://www.yso.fi/onto/yso/p19406>	concept analysis
<http://www.yso.fi/onto/yso/p9328>	human capital
<http://www.yso.fi/onto/yso/p8998>	social capital
<http://www.yso.fi/onto/yso/p6249>	capital
<http://www.yso.fi/onto/yso/p84>	education and training
<http://www.yso.fi/onto/yso/p2240>	science (phenomena)
<http://www.yso.fi/onto/yso/p4259>	productivity
<http://www.yso.fi/onto/yso/p7903>	innovations
<http://www.yso.fi/onto/yso/p3863>	economic theories
<http://www.yso.fi/onto/yso/p28775>	welfare and wellbeing economy
<http://www.yso.fi/onto/yso/p6150>	economic growth
<http://www.yso.fi/onto/yso/p2849>	economic sciences
<http://www.yso.fi/onto/yso/p3908>	societal policy
<http://www.yso.fi/onto/yso/p131239>	Roman Britain
<http://www.yso.fi/onto/yso/p104968>	France
<http://www.yso.fi/onto/yso/p105087>	Germany
