<http://www.yso.fi/onto/yso/p2699>	photographs
<http://www.yso.fi/onto/yso/p1161>	journalism
<http://www.yso.fi/onto/yso/p10539>	mass communication
<http://www.yso.fi/onto/yso/p13733>	photojournalism
<http://www.yso.fi/onto/yso/p13734>	press photographs
<http://www.yso.fi/onto/yso/p26937>	news photographs
<http://www.yso.fi/onto/yso/p4092>	photo journalists
<http://www.yso.fi/onto/yso/p27163>	visual literacy
<http://www.yso.fi/onto/yso/p16870>	image analysis
<http://www.yso.fi/onto/yso/p14612>	content analysis
<http://www.yso.fi/onto/yso/p3603>	semiotics
<http://www.yso.fi/onto/yso/p11905>	context
<http://www.yso.fi/onto/yso/p17213>	intertextuality
<http://www.yso.fi/onto/yso/p476>	upbringing
<http://www.yso.fi/onto/yso/p2630>	teaching and instruction
<http://www.yso.fi/onto/yso/p84>	education and training
<http://www.yso.fi/onto/yso/p2945>	learning
