<http://www.yso.fi/onto/yso/p4734>	motivation (mental objects)
<http://www.yso.fi/onto/yso/p19163>	study motivation
<http://www.yso.fi/onto/yso/p8586>	study performance
<http://www.yso.fi/onto/yso/p8584>	school achievements
<http://www.yso.fi/onto/yso/p267>	self image
<http://www.yso.fi/onto/yso/p5296>	curriculum subjects
<http://www.yso.fi/onto/yso/p11406>	reading (activity)
<http://www.yso.fi/onto/yso/p3160>	mathematics
<http://www.yso.fi/onto/yso/p2518>	comprehensive school
<http://www.yso.fi/onto/yso/p15089>	preschool
<http://www.yso.fi/onto/yso/p9700>	occupational education
<http://www.yso.fi/onto/yso/p6547>	educational choices
