<http://www.yso.fi/onto/yso/p12159>	Drosophilidae
<http://www.yso.fi/onto/yso/p3062>	cold resistance
<http://www.yso.fi/onto/yso/p6194>	environmental factors
<http://www.yso.fi/onto/yso/p25831>	gene expression
<http://www.yso.fi/onto/yso/p3066>	metabolism
<http://www.yso.fi/onto/yso/p1983>	insects
<http://www.yso.fi/onto/yso/p6137>	adaptation (change)
<http://www.yso.fi/onto/yso/p2053>	cold
<http://www.yso.fi/onto/yso/p25030>	acclimation
<http://www.yso.fi/onto/yso/p3061>	wintering
<http://www.yso.fi/onto/yso/p16613>	circadian rhythm
<http://www.yso.fi/onto/yso/p5742>	light (electromagnetic radiation)
<http://www.yso.fi/onto/yso/p2100>	temperature
<http://www.yso.fi/onto/yso/p5683>	reproduction (biology)
